ItemNumber,PropertyCode,PropertyDescription,ValueCode,ValueDescription,UserInputed
03-105-025               ,31459,LED Light Bulbs_Features                          ,,,"Better Efficiency  80.5 Lumen per watt. Provide better efficiency on every watt consumption.    Wide Angle Illumination  230～ beam angle which is the widest beam angle in Non-Omni directional LED bulbs.    Money Saving  Rosewill 8.2-Watt LED light bulb replaces your standard A19 up to 55-Watt bulb, saving you up to $122.38 in energy costs    Ceramic Base   Improved heat dissipating efficiency over alloy bases for superior lumen maintenance.    **Note: Package info shows 17 years lifespan is based on 3 Hrs/Day. The correct specification is 17 years lifespan based on 4 Hrs/Day."
03-105-025               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-025               ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-105-025               ,31131,LED Light Bulbs_Lumen Output                      ,455105,660,660+/-10%
03-105-025               ,31142,LED Light Bulbs_Lumen Range                       ,281658,600 to 799,
03-105-025               ,31135,LED Light Bulbs_Model                             ,,,RL-W93001
03-105-025               ,31133,LED Light Bulbs_Power Consumption                 ,,,8.2W
03-105-025               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulbs
03-105-025               ,31137,LED Light Bulbs_Voltage                           ,,,110V+/-10%
03-105-025               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-025               ,31128,LED Light Bulbs_Wattage Equivalent                ,281606,55 Watt Equivalent,
03-105-026               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-026               ,37620,LED Light Bulbs_Beam Angle                        ,,,230～
03-105-026               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-026               ,31140,LED Light Bulbs_Color Temp Range                  ,,,4700K-5000K
03-105-026               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-026               ,31459,LED Light Bulbs_Features                          ,,,"Better Efficiency  101.5 Lumen per watt. Provide better efficiency on every watt consumption.    Wide Angle Illumination  230～ beam angle which is the widest beam angle in Non-Omni directional LED bulbs.    Money Saving  Rosewill 8.2-Watt LED light bulb replaces your standard A19 up to 55-Watt bulb, saving you up to $133.38 in energy costs    Ceramic Base   Improved heat dissipating efficiency over alloy bases for superior lumen maintenance.    **Note: Package info shows 17 years lifespan is based on 3 Hrs/Day. The correct specification is 17 years lifespan based on 4 Hrs/Day."
03-105-026               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-026               ,31130,LED Light Bulbs_Light Appearance                  ,281628,Cool White,
03-105-026               ,31131,LED Light Bulbs_Lumen Output                      ,455105,660,660+/-10%
03-105-026               ,31135,LED Light Bulbs_Model                             ,,,RL-W75001
03-105-026               ,31133,LED Light Bulbs_Power Consumption                 ,288521,6.5 Watts,
03-105-026               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulbs
03-105-026               ,31137,LED Light Bulbs_Voltage                           ,,,110V+/-10%
03-105-026               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-026               ,31128,LED Light Bulbs_Wattage Equivalent                ,281606,55 Watt Equivalent,
03-105-027               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-027               ,37620,LED Light Bulbs_Beam Angle                        ,,,230～
03-105-027               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-027               ,31140,LED Light Bulbs_Color Temp Range                  ,,,2700K-3000K
03-105-027               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-027               ,31459,LED Light Bulbs_Features                          ,,,"Better Efficiency  86.1 Lumen per watt. Provide better efficiency on every watt consumption.    Wide Angle Illumination  230～ beam angle which is the widest beam angle in Non-Omni directional LED bulbs.    Money Saving  Rosewill 8.2-Watt LED light bulb replaces your standard A19 up to 55-Watt bulb, saving you up to $119.63 in energy costs    Ceramic Base   Improved heat dissipating efficiency over alloy bases for superior lumen maintenance.    **Note: Package info shows 17 years lifespan is based on 3 Hrs/Day. The correct specification is 17 years lifespan based on 4 Hrs/Day."
03-105-027               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-027               ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-105-027               ,31131,LED Light Bulbs_Lumen Output                      ,455106,560,560+/-10%
03-105-027               ,31142,LED Light Bulbs_Lumen Range                       ,281657,400 to 599,
03-105-027               ,31135,LED Light Bulbs_Model                             ,,,RL-W73001
03-105-027               ,31133,LED Light Bulbs_Power Consumption                 ,288521,6.5 Watts,
03-105-027               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulbs
03-105-027               ,31137,LED Light Bulbs_Voltage                           ,,,110V+/-10%
03-105-027               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-027               ,31128,LED Light Bulbs_Wattage Equivalent                ,281605,50 Watt Equivalent,
03-105-029R              ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-029R              ,37620,LED Light Bulbs_Beam Angle                        ,,,240～
03-105-029R              ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-029R              ,31140,LED Light Bulbs_Color Temp Range                  ,,,2700K-3000K
03-105-029R              ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-029R              ,31459,LED Light Bulbs_Features                          ,,,"Better Efficiency  80 Lumen per watt. Provide better efficiency on every watt consumption.    Wide Angle Illumination  240～ beam angle which is the widest beam angle in Non-Omni directional LED bulbs.    Money Saving  Rosewill 4.5-Watt LED light bulb replaces your standard A19 up to 35-Watt bulb, saving you up to $83.88 in energy costs    Ceramic Base   Improved heat dissipating efficiency over alloy bases for superior lumen maintenance.    **Note: Package info shows 17 years lifespan is based on 3 Hrs/Day. The correct specification is 17 years lifespan based on 4 Hrs/Day."
03-105-029R              ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-029R              ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-105-029R              ,31131,LED Light Bulbs_Lumen Output                      ,288628,360,360+/-10%
03-105-029R              ,31135,LED Light Bulbs_Model                             ,,,RL-W53001
03-105-029R              ,31133,LED Light Bulbs_Power Consumption                 ,315586,4.5 Watts,
03-105-029R              ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulbs
03-105-029R              ,31137,LED Light Bulbs_Voltage                           ,,,110V+/-10%
03-105-029R              ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-030               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-030               ,37620,LED Light Bulbs_Beam Angle                        ,,,230～
03-105-030               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-030               ,31140,LED Light Bulbs_Color Temp Range                  ,,,2700K-3000K
03-105-030               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-030               ,31459,LED Light Bulbs_Features                          ,,,Better Efficiency  80.5 Lumen per watt. Provide better efficiency on every watt consumption.    Wide Angle Illumination  240 degree beam angle which is the wildest beam angle in Non-Omni LED bulbs.    Ceramic Base   Improved heat dissipating efficiency over alloy bases.    **Note: Package info shows 17 years lifespan is based on 3 Hrs/Day. The correct specification is 17 years lifespan based on 4 Hrs/Day.
03-105-030               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-030               ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-105-030               ,31131,LED Light Bulbs_Lumen Output                      ,455105,660,660+/-10%
03-105-030               ,31142,LED Light Bulbs_Lumen Range                       ,281658,600 to 799,
03-105-030               ,31135,LED Light Bulbs_Model                             ,,,RL-W93001-4P
03-105-030               ,31133,LED Light Bulbs_Power Consumption                 ,,,8.2W
03-105-030               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulbs
03-105-030               ,31137,LED Light Bulbs_Voltage                           ,,,110+/-10 Volt
03-105-030               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-030               ,31128,LED Light Bulbs_Wattage Equivalent                ,281606,55 Watt Equivalent,
03-105-032               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-032               ,37620,LED Light Bulbs_Beam Angle                        ,,,230～
03-105-032               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-032               ,31140,LED Light Bulbs_Color Temp Range                  ,,,2700K-3000K
03-105-032               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-032               ,31459,LED Light Bulbs_Features                          ,,,Better Efficiency  86.1 Lumen per watt. Provide better efficiency on every watt consumption.    Wide Angle Illumination  240 degree beam angle which is the wildest beam angle in Non-Omni LED bulbs.    Ceramic Base   Improved heat dissipating efficiency over alloy bases.    **Note: Package info shows 17 years lifespan is based on 3 Hrs/Day. The correct specification is 17 years lifespan based on 4 Hrs/Day.
03-105-032               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-032               ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-105-032               ,31131,LED Light Bulbs_Lumen Output                      ,455106,560,560+/-10%
03-105-032               ,31135,LED Light Bulbs_Model                             ,,,RL-W73001-4P
03-105-032               ,31133,LED Light Bulbs_Power Consumption                 ,288521,6.5 Watts,
03-105-032               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulbs
03-105-032               ,31137,LED Light Bulbs_Voltage                           ,,,110+/-10 Volt
03-105-032               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-032               ,31128,LED Light Bulbs_Wattage Equivalent                ,281606,55 Watt Equivalent,
03-105-033               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-033               ,31138,LED Light Bulbs_Energy Star                       ,281635,Yes,
03-105-033               ,31459,LED Light Bulbs_Features                          ,,,"White recessed LED trim  For use with 6§ IC or Non-IC recessed housings. (housings not included)  Dimmable and dimming range between 10% to 100% and compatible with most household dimmers  75 watt bulb equivalent light output 每 15 watt energy used.  Save on bulb replacement over 35,000 hours lamp life  E26 medium base socket adapter included  1,200 lm (80lm/W)  CCT:3000K  CRI80  AC 120V / 60Hz  Aluminum heat sink  UL, Energy Star"
03-105-033               ,31135,LED Light Bulbs_Model                             ,,,RTRL-14001
03-105-033               ,31128,LED Light Bulbs_Wattage Equivalent                ,281610,75 Watt Equivalent,
03-105-034               ,31132,LED Light Bulbs_Base                              ,316329,G13,
03-105-034               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-034               ,31140,LED Light Bulbs_Color Temp Range                  ,459972,4000 K to 5000 K,
03-105-034               ,31139,LED Light Bulbs_Color Temperature                 ,462072,4100K,
03-105-034               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-034               ,31459,LED Light Bulbs_Features                          ,,,"Shatterproof design incorporates a diffused lens and contains no glass.     40~54 watt Fluorescent T8/T12 tube equivalent light output 每 22 watt energy used.    Bi-Pin G13 socket Base    Brightness: 2,300 lumen    LPW:  105 lm/W    CCT:4100K    Length: 4 feet    CRI > 82    Voltage 120/240/277 Volt    AC 100V~305V / 60Hz    Aluminum heat sink    Save on Fluorescent replacement over 50,000 hours lamp life    Designed for direct connection to AC power."
03-105-034               ,31136,LED Light Bulbs_Lifetime Hours                    ,288581,"50,000",
03-105-034               ,31130,LED Light Bulbs_Light Appearance                  ,292878,Daylight,
03-105-034               ,31131,LED Light Bulbs_Lumen Output                      ,,,2300
03-105-034               ,31142,LED Light Bulbs_Lumen Range                       ,281660,More than 1000,
03-105-034               ,31135,LED Light Bulbs_Model                             ,,,RLLB-14001
03-105-034               ,31133,LED Light Bulbs_Power Consumption                 ,462074,22 Watts,
03-105-034               ,31141,LED Light Bulbs_Shape                             ,316330,T8,
03-105-034               ,31137,LED Light Bulbs_Voltage                           ,288504,120 Volt,120/240/277 Volt
03-105-040               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-040               ,37620,LED Light Bulbs_Beam Angle                        ,,,300～
03-105-040               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-040               ,31140,LED Light Bulbs_Color Temp Range                  ,347299,2900 K to 3000 K,2800K-3000K
03-105-040               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-040               ,31459,LED Light Bulbs_Features                          ,,,Omni-Directional Illumination    Beautiful glass bulb just like a traditional light bulb    Better Efficiency  96 Lumen per watt. Provide better efficiency on every watt consumption.    *Note: Package info shows Color Appearance as Cool The correct Color Appearance is Warm  ** Note: Package info shows Model number as 03-105-040. The correct Model number is RL-O53001.
03-105-040               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-040               ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-105-040               ,31131,LED Light Bulbs_Lumen Output                      ,,,480㊣10%
03-105-040               ,31142,LED Light Bulbs_Lumen Range                       ,281657,400 to 599,
03-105-040               ,31135,LED Light Bulbs_Model                             ,,,RL-O53001
03-105-040               ,31133,LED Light Bulbs_Power Consumption                 ,288542,5 Watts,
03-105-040               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulb
03-105-040               ,31137,LED Light Bulbs_Voltage                           ,288504,120 Volt,120㊣10 Volt
03-105-040               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-040               ,31128,LED Light Bulbs_Wattage Equivalent                ,281603,40 Watt Equivalent,40W
03-105-041               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-041               ,37620,LED Light Bulbs_Beam Angle                        ,,,300
03-105-041               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-041               ,31140,LED Light Bulbs_Color Temp Range                  ,459972,4000 K to 5000 K,4800K-5000K
03-105-041               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-041               ,31459,LED Light Bulbs_Features                          ,,,Omni-Directional Illumination    Beautiful glass bulb just like a traditional light bulb    Better Efficiency  100 Lumen per watt. Provide better efficiency on every watt consumption.    *Note: Package info shows Model number as 03-105-041. The correct Model number is RL-O56001.
03-105-041               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-041               ,31130,LED Light Bulbs_Light Appearance                  ,281628,Cool White,
03-105-041               ,31131,LED Light Bulbs_Lumen Output                      ,,,500㊣10%
03-105-041               ,31142,LED Light Bulbs_Lumen Range                       ,281657,400 to 599,
03-105-041               ,31135,LED Light Bulbs_Model                             ,,,RL-O56001
03-105-041               ,31133,LED Light Bulbs_Power Consumption                 ,288542,5 Watts,
03-105-041               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulb
03-105-041               ,31137,LED Light Bulbs_Voltage                           ,,,120㊣10 Volt
03-105-041               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-041               ,31128,LED Light Bulbs_Wattage Equivalent                ,281603,40 Watt Equivalent,40W
03-105-042               ,31132,LED Light Bulbs_Base                              ,,,E26
03-105-042               ,37620,LED Light Bulbs_Beam Angle                        ,,,280
03-105-042               ,31134,LED Light Bulbs_Brand                             ,288514,Rosewill,
03-105-042               ,31140,LED Light Bulbs_Color Temp Range                  ,,,2500K-2700K
03-105-042               ,31129,LED Light Bulbs_Dimmable                          ,281626,No,
03-105-042               ,31459,LED Light Bulbs_Features                          ,,,Omni-Directional Illumination    Better Efficiency  88.9 Lumen per watt. Provide better efficiency on every watt consumption.
03-105-042               ,31136,LED Light Bulbs_Lifetime Hours                    ,288513,"25,000",
03-105-042               ,31130,LED Light Bulbs_Light Appearance                  ,281627,Warm White,
03-105-042               ,31131,LED Light Bulbs_Lumen Output                      ,,,800㊣10%
03-105-042               ,31142,LED Light Bulbs_Lumen Range                       ,281659,800 to 1000,
03-105-042               ,31135,LED Light Bulbs_Model                             ,,,RL-O93001
03-105-042               ,31133,LED Light Bulbs_Power Consumption                 ,288602,9 Watts,
03-105-042               ,31141,LED Light Bulbs_Shape                             ,281647,A19,A19 LED bulbs
03-105-042               ,31137,LED Light Bulbs_Voltage                           ,,,120㊣10 Volt
03-105-042               ,37621,LED Light Bulbs_Warranty                          ,,,2 years
03-105-042               ,31128,LED Light Bulbs_Wattage Equivalent                ,281607,60 Watt Equivalent,
0Y3-0015-00003           ,2085,ADPT&CHNGER_Brand                                 ,,,Rosewill                                
0Y3-0015-00003           ,2086,ADPT&CHNGER_Model                                 ,,,RNWD-N9003PCE       
11-147-010               ,870,Case_120mm Fans                                   ,19234,No,
11-147-010               ,868,Case_80mm Fans                                    ,19233,No,1 x optional Rear 80mm or 92mm Fan    1 x optional Front 80mm or 92mm Fan
11-147-010               ,1717,Case_Brand                                        ,11838,Rosewill,
